,ENGAGED_df6,prob,prob_d
71566,0,0.12872650252832105,0
19572,0,0.06257101660776368,0
29824,0,0.06436129511180799,0
17343,1,0.20816725073618242,0
26615,0,0.14638485590990796,0
68335,0,0.18331682732741464,0
3137,1,0.2603353448092077,1
72899,0,0.13367559676299848,0
9822,0,0.08094783127646417,0
72372,0,0.16340333888443886,0
75080,0,0.09461352946850349,0
14281,1,0.12977219217223876,0
36732,1,1.0,1
68486,0,0.02532149121457939,0
52704,0,0.1501514007472885,0
34933,0,0.15651316748993063,0
35321,0,0.07076067243137452,0
77955,0,0.13152097820683473,0
16552,0,0.1266361019319794,0
8472,1,0.16870544548171135,0
14707,0,0.11882428136451485,0
16948,0,0.13852240126589258,0
49963,0,0.12127788416439111,0
9045,1,0.9870336852385846,1
59393,0,0.19734042227567714,0
1848,0,0.10224062649104292,0
12325,0,0.0634888905488514,0
76065,0,0.08815357757102561,0
49667,0,0.7896930027091477,1
63485,0,0.11734632545364874,0
56775,0,0.10623708715225409,0
23744,1,0.9320453172777635,1
6483,0,0.19604702577750313,0
33326,0,0.08187564854633288,0
33680,0,0.11590884073069381,0
75190,0,0.18583529222125925,0
57383,1,0.24643730181751897,0
44418,0,0.1307934631843944,0
73266,0,0.1417057733365779,0
31228,0,0.06582691687858801,0
51769,0,0.11007467078407605,0
46880,0,0.1288103716992521,0
53554,0,0.10117587446934088,0
5992,0,0.11846264470096496,0
33503,0,0.10273036780059626,0
48706,0,0.14010608836843103,0
38398,0,0.07657369855459654,0
4917,0,0.061044264533395454,0
30420,0,0.07769860100313507,0
56594,0,0.1303260358688163,0
42002,0,0.09600416221777915,0
37112,0,0.21084296067826425,0
18362,1,0.11871779222053733,0
46167,0,0.09575848361902703,0
27031,0,0.12158573806021163,0
26691,0,0.15947548923573016,0
26749,0,0.08609592895119621,0
48976,0,0.07489751133771415,0
64254,1,0.7945563901512276,1
58579,1,0.7391036719420547,1
37880,0,0.12520924401205072,0
54409,1,0.08123433327989775,0
44684,1,0.15297234863290177,0
15123,0,0.10841370100493083,0
17061,1,0.6802163780559545,1
41076,0,0.1243717302929316,0
64762,0,0.13601542064244657,0
37024,0,0.0820439283237623,0
76480,0,0.1879308651398836,0
81025,0,0.0937342408456281,0
55032,0,0.13944484863507595,0
74529,0,0.07659641930485411,0
3987,0,0.07238610579767255,0
40541,0,0.1118371818118213,0
27188,0,0.0635241608097284,0
22516,0,0.08267612876051775,0
58157,0,0.14461913873176557,0
37868,0,0.13309217122735786,0
82813,1,0.8024298230432529,1
10910,0,0.09401242709588957,0
4326,1,0.9470552674170696,1
43779,0,0.10816620397369386,0
54339,1,0.11868841335522641,0
79383,0,0.09620854486335331,0
79673,1,0.9544120535654496,1
67880,0,0.1101034630842501,0
58652,1,0.07389067567134538,0
62301,0,0.0918546291450318,0
1292,0,0.13519513183873355,0
48143,0,0.1306389375301526,0
21881,0,0.06051931743247931,0
69308,1,0.9259751979802084,1
52207,1,0.08434545106482967,0
